"Time","mWW","mWH","mWR","mWB","mHH","mHR","mHB","mRR","mRB","mBB","fWW","fWH","fWR","fWB","fHH","fHR","fHB","fRR","fRB","fBB"
217,8106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,8022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,7960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,7788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,7735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,7566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,7466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,7414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,7318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,7088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,7117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,7073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,6940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,6947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,6957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,6698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,6702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,6469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,6282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,6296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,6289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,5925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,5772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,5751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,5683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,5751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,5835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,5865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,5860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,5956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,6125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,6204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,6267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,6555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,6757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,6923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,7011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,7191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,7430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,7544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,7723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,7856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,8126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,8208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,8143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,8470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,8681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,8847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,8886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,8763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,8855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,8987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,9076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,9439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,9765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,9747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,9716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,9758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,9946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,10327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,10403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,10542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,10440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,10482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,10473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,10620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,10763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,10811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,10665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,10764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
